GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jiangou,com.jiangou.config,SearchProperties,139,0,22,0,4,0,21,0,10,0
jiangou,com.jiangou.config,AsyncConfig,43,0,0,0,15,0,3,0,3,0
jiangou,com.jiangou.config,AppConfig,44,0,4,0,12,0,6,0,4,0
jiangou,com.jiangou.config,MyBatisMapperConfig,3,0,0,0,1,0,1,0,1,0
jiangou,com.jiangou.config,AuthProperties,305,0,26,0,10,0,36,0,23,0
jiangou,com.jiangou.config,JwtProperties,181,0,22,0,5,0,24,0,13,0
jiangou,com.jiangou.config,RedisConfig,8,0,0,0,2,0,2,0,2,0
jiangou,com.jiangou.config,SearchProperties.Meilisearch,244,0,34,0,6,0,32,0,15,0
jiangou,com.jiangou.config,OpenApiConfig,36,0,0,0,8,0,2,0,2,0
jiangou,com.jiangou.config,SeedDataRunner,505,0,26,0,128,0,16,0,3,0
jiangou,com.jiangou.config,WebConfig,51,0,2,0,13,0,3,0,2,0
jiangou,com.jiangou.config,MinioConfig,59,0,2,0,16,0,6,0,5,0
jiangou,com.jiangou.config,BootstrapAdminRunner,23,219,11,21,4,52,11,14,0,9
jiangou,com.jiangou.config,GitHubOAuthProperties,266,0,44,0,14,0,39,0,17,0
jiangou,com.jiangou.config,MybatisPlusConfig,15,0,0,0,4,0,2,0,2,0
jiangou,com.jiangou.note.service,NoteService,285,0,10,0,63,0,17,0,12,0
jiangou,com.jiangou.note.service,NoteLikeService,19,54,3,3,2,13,3,3,1,2
jiangou,com.jiangou.subscription.controller,SubscriptionAdminController,38,0,0,0,8,0,3,0,3,0
jiangou,com.jiangou.subscription.controller,SubscriptionController,16,40,0,0,4,11,1,3,1,3
jiangou,com.jiangou.upload.service,UploadService,779,0,100,0,151,0,67,0,17,0
jiangou,com.jiangou.upload.service,UploadService.ImageInfo,21,0,0,0,7,0,4,0,4,0
jiangou,com.jiangou.category.service,CategoryService,343,0,22,0,85,0,20,0,9,0
jiangou,com.jiangou.friendlink.vo,FriendLinkVO.FriendLinkVOBuilder,86,0,0,0,1,0,9,0,9,0
jiangou,com.jiangou.friendlink.vo,FriendLinkVO,320,0,54,0,8,0,45,0,18,0
jiangou,com.jiangou.article.vo,ArticleListItemVO.CategoryBriefVO.CategoryBriefVOBuilder,38,0,0,0,1,0,5,0,5,0
jiangou,com.jiangou.article.vo,ArticleDetailVO.CategoryBrief.CategoryBriefBuilder,38,0,0,0,1,0,5,0,5,0
jiangou,com.jiangou.article.vo,ArticleListItemVO,596,0,102,0,14,0,81,0,30,0
jiangou,com.jiangou.article.vo,ArchiveGroupVO.ArchiveItemVO.ArchiveItemVOBuilder,62,0,0,0,1,0,7,0,7,0
jiangou,com.jiangou.article.vo,ArticleDetailVO,918,0,158,0,21,0,123,0,44,0
jiangou,com.jiangou.article.vo,ArchiveGroupVO,182,0,30,0,5,0,27,0,12,0
jiangou,com.jiangou.article.vo,ArchiveMonthVO,126,0,22,0,3,0,20,0,9,0
jiangou,com.jiangou.article.vo,ArticleVersionDiffVO.DiffLine,139,0,22,0,6,0,22,0,11,0
jiangou,com.jiangou.article.vo,ArchiveArticleRow,298,0,54,0,7,0,44,0,17,0
jiangou,com.jiangou.article.vo,ArticleVersionVO.ArticleVersionVOBuilder,62,0,0,0,1,0,7,0,7,0
jiangou,com.jiangou.article.vo,ArticlePublishResult,15,0,0,0,3,0,3,0,3,0
jiangou,com.jiangou.article.vo,ArticleVersionVO,231,0,38,0,8,0,34,0,15,0
jiangou,com.jiangou.article.vo,ArticleDetailVO.CategoryBrief,136,0,22,0,4,0,21,0,10,0
jiangou,com.jiangou.article.vo,TocItemVO.TocItemVOBuilder,50,0,0,0,1,0,6,0,6,0
jiangou,com.jiangou.article.vo,ArticleVersionDiffVO.DiffLine.DiffLineBuilder,38,0,0,0,1,0,5,0,5,0
jiangou,com.jiangou.article.vo,ArticleListItemVO.ArticleListItemVOBuilder,158,0,0,0,1,0,15,0,15,0
jiangou,com.jiangou.article.vo,ArticleVersionDiffVO.ArticleVersionDiffVOBuilder,50,0,0,0,1,0,6,0,6,0
jiangou,com.jiangou.article.vo,ArchiveGroupVO.ArchiveGroupVOBuilder,50,0,0,0,1,0,6,0,6,0
jiangou,com.jiangou.article.vo,ArchiveGroupVO.ArchiveItemVO,228,0,38,0,6,0,33,0,14,0
jiangou,com.jiangou.article.vo,ArticleDetailVO.ArticleDetailVOBuilder,242,0,0,0,1,0,22,0,22,0
jiangou,com.jiangou.article.vo,ArticleListItemVO.CategoryBriefVO,136,0,22,0,4,0,21,0,10,0
jiangou,com.jiangou.article.vo,ArticleVersionDiffVO,185,0,30,0,7,0,28,0,13,0
jiangou,com.jiangou.article.vo,TocItemVO,168,0,24,0,7,0,25,0,13,0
jiangou,com.jiangou.friendlink.controller,FriendLinkAdminController,83,0,0,0,20,0,7,0,7,0
jiangou,com.jiangou.friendlink.controller,FriendLinkPublicController,17,0,0,0,5,0,3,0,3,0
jiangou,com.jiangou.article.service,ArticleService,2154,0,226,0,482,0,167,0,54,0
jiangou,com.jiangou.article.service,ArticleLikeService,73,0,6,0,15,0,6,0,3,0
jiangou,com.jiangou.article.service,ArticleAdminWorkflowService,114,0,2,0,30,0,8,0,7,0
jiangou,com.jiangou.note.vo,NoteVO,366,0,62,0,9,0,51,0,20,0
jiangou,com.jiangou.note.vo,NoteVO.NoteVOBuilder,98,0,0,0,1,0,10,0,10,0
jiangou,com.jiangou.category.dto,CategoryDTO,255,0,46,0,6,0,38,0,15,0
jiangou,com.jiangou.snippet.vo,SnippetVO.SnippetVOBuilder,146,0,0,0,1,0,14,0,14,0
jiangou,com.jiangou.snippet.vo,SnippetVO,550,0,94,0,13,0,75,0,28,0
jiangou,com.jiangou.comment.entity,CommentEntity,986,0,182,0,23,0,140,0,49,0
jiangou,com.jiangou.category.controller,CategoryController,17,0,0,0,5,0,3,0,3,0
jiangou,com.jiangou.category.controller,CategoryAdminController,30,0,0,0,8,0,5,0,5,0
jiangou,com.jiangou.search.engine,MysqlSearchEngine,219,0,12,0,44,0,14,0,8,0
jiangou,com.jiangou.search.engine,SearchEngineConfig,16,0,4,0,6,0,4,0,2,0
jiangou,com.jiangou.search.engine,MeilisearchSearchEngine,804,0,36,0,134,0,34,0,16,0
jiangou,com.jiangou.project.dto,ProjectDTO,341,0,62,0,8,0,50,0,19,0
jiangou,com.jiangou.webmention.vo,WebmentionVO.WebmentionVOBuilder,98,0,0,0,1,0,10,0,10,0
jiangou,com.jiangou.webmention.vo,WebmentionVO,366,0,62,0,9,0,51,0,20,0
jiangou,com.jiangou.search.controller,SearchAdminController,23,0,0,0,7,0,2,0,2,0
jiangou,com.jiangou.search.controller,SearchController,21,0,0,0,5,0,3,0,3,0
jiangou,com.jiangou.search.service,SearchService,33,0,4,0,10,0,5,0,3,0
jiangou,com.jiangou.search.service,SearchIndexService,729,0,90,0,154,0,66,0,21,0
jiangou,com.jiangou.search.service,MeilisearchIndexRetryService,102,0,12,0,21,0,14,0,8,0
jiangou,com.jiangou.tag.service,TagService,329,0,20,0,83,0,19,0,9,0
jiangou,com.jiangou.friendlink.entity,FriendLinkEntity,556,0,102,0,13,0,80,0,29,0
jiangou,com.jiangou.system.service,SystemSettingService,102,156,8,4,22,25,7,5,3,3
jiangou,com.jiangou.system.service,HomeService,46,0,0,0,14,0,2,0,2,0
jiangou,com.jiangou.system.service,AuditLogService,108,0,0,0,25,0,4,0,4,0
jiangou,com.jiangou.system.service,StatsService,230,0,2,0,49,0,8,0,7,0
jiangou,com.jiangou.note.controller,NotePublicController,48,0,0,0,12,0,4,0,4,0
jiangou,com.jiangou.note.controller,NoteAdminController,65,0,0,0,17,0,6,0,6,0
jiangou,com.jiangou.schedule,MeilisearchRetryScheduler,82,0,8,0,25,0,7,0,3,0
jiangou,com.jiangou.schedule,LikeCounterSyncScheduler,299,0,16,0,62,0,12,0,4,0
jiangou,com.jiangou.schedule,RssScheduler,18,0,0,0,7,0,3,0,3,0
jiangou,com.jiangou.schedule,GitHubSyncScheduler,58,0,2,0,15,0,4,0,3,0
jiangou,com.jiangou.webmention.entity,WebmentionEntity,427,0,78,0,10,0,62,0,23,0
